127.0.0.1, 2014-05-27 16:10:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2014-05-27 16:10:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2014-05-27 16:10:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2014-05-27 16:10:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000249
127.0.0.1, 2014-05-27 16:11:03, GET, /admin/default/design/kurssihallinta, HTTP/1.1, 200, 0.128118
127.0.0.1, 2014-05-27 16:11:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/default/edit/kurssihallinta/models/db.py, HTTP/1.1, 200, 0.051107
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001112
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000675
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001508
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003968
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002907
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002130
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001278
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.004448
